#bin	chrom	chromStart	chromEnd	ix	type	frag	fragStart	fragEnd	strand
0	chr1	100	69553753	2	W	JH373152.1	0	69553653	+
2	chr1	69554753	122678785	4	W	JH373153.1	0	53124032	+
1	chr2	100	18329249	2	W	JH373154.1	0	18329149	+
1	chr2	18330249	34666247	4	W	JH373155.1	0	16335998	+
0	chr2	34667247	79960398	6	W	JH373156.1	0	45293151	+
2	chr2	79961398	85426708	8	W	JH373157.1	0	5465310	+
1	chr3	100	32339257	2	W	JH373158.1	0	32339157	+
1	chr3	32340257	37220689	4	W	JH373159.1	0	4880432	+
0	chr3	37221689	91889043	6	W	JH373160.1	0	54667354	+
1	chr4	100	10492166	2	W	JH373161.1	0	10492066	+
0	chr4	10493166	88276631	4	W	JH373162.1	0	77783465	+
1	chr5	100	56102507	2	W	JH373163.1	0	56102407	+
15	chr5	56103507	56960195	4	W	JH373164.1	0	856688	+
1	chr5	56961195	66460208	6	W	JH373165.1	0	9499013	+
0	chr5	66461208	88915250	8	W	JH373166.1	0	22454042	+
1	chr6	100	8855463	2	W	JH373167.1	0	8855363	+
10	chr6	8856463	15596226	4	W	JH373168.1	0	6739763	+
10	chr6	15597226	16743015	6	W	JH373169.1	0	1145789	+
1	chr6	16744015	17730889	8	W	JH373170.1	0	986874	+
0	chr6	17731889	77573801	10	W	JH373171.1	0	59841912	+
9	chr7	100	1903091	2	W	JH373172.1	0	1902991	+
1	chr7	1904091	63813490	4	W	JH373173.1	0	61909399	+
0	chr7	63814490	80543251	6	W	JH373174.1	0	16728761	+
18	chr7	80544251	80974532	8	W	JH373175.1	0	430281	+
9	chr8	100	2159099	2	W	JH373176.1	0	2158999	+
0	chr8	2160099	74330416	4	W	JH373177.1	0	72170317	+
9	chr9	100	7516263	2	W	JH373178.1	0	7516163	+
1	chr9	7517263	8956385	4	W	JH373179.1	0	1439122	+
1	chr9	8957385	18187915	6	W	JH373180.1	0	9230530	+
1	chr9	18188915	47774102	8	W	JH373181.1	0	29585187	+
1	chr9	47775102	61074082	10	W	JH373182.1	0	13298980	+
585	chrM	0	16727	1	F	NC_002008	0	16727	+
585	chrX	0	94534	1	W	JH373231.1	0	94534	+
0	chrX	95534	123869142	3	W	JH373232.1	0	123773608	+
1	chr10	100	16557742	2	W	JH373183.1	0	16557642	+
0	chr10	16558742	69331447	4	W	JH373184.1	0	52772705	+
1	chr11	100	9054290	2	W	JH373185.1	0	9054190	+
0	chr11	9055290	74389097	4	W	JH373186.1	0	65333807	+
0	chr12	100	72498081	2	W	JH373187.1	0	72497981	+
1	chr13	100	29653387	2	W	JH373188.1	0	29653287	+
1	chr13	29654387	63241923	4	W	JH373189.1	0	33587536	+
1	chr14	100	60966679	2	W	JH373190.1	0	60966579	+
1	chr15	100	64190966	2	W	JH373191.1	0	64190866	+
1	chr16	100	21278162	2	W	JH373192.1	0	21278062	+
1	chr16	21279162	39094470	4	W	JH373193.1	0	17815308	+
1	chr16	39095470	59632846	6	W	JH373194.1	0	20537376	+
1	chr17	100	51516182	2	W	JH373195.1	0	51516082	+
1	chr17	51517182	64289059	4	W	JH373196.1	0	12771877	+
1	chr18	100	25331075	2	W	JH373197.1	0	25330975	+
1	chr18	25332075	55844845	4	W	JH373198.1	0	30512770	+
1	chr19	100	35995029	2	W	JH373199.1	0	35994929	+
1	chr19	35996029	53741614	4	W	JH373200.1	0	17745585	+
1	chr20	100	25185524	2	W	JH373201.1	0	25185424	+
1	chr20	25186524	58134056	4	W	JH373202.1	0	32947532	+
1	chr21	100	50858623	2	W	JH373203.1	0	50858523	+
1	chr22	100	55660365	2	W	JH373204.1	0	55660265	+
1	chr22	55661365	61439934	4	W	JH373205.1	0	5778569	+
1	chr23	100	52294480	2	W	JH373206.1	0	52294380	+
1	chr24	100	47698779	2	W	JH373207.1	0	47698679	+
1	chr25	100	18612956	2	W	JH373208.1	0	18612856	+
1	chr25	18613956	45782061	4	W	JH373209.1	0	27168105	+
1	chr25	45783061	50767536	6	W	JH373210.1	0	4984475	+
15	chr25	50768536	51628933	8	W	JH373211.1	0	860397	+
1	chr26	100	26115943	2	W	JH373212.1	0	26115843	+
1	chr26	26116943	38964690	4	W	JH373213.1	0	12847747	+
1	chr27	100	45876710	2	W	JH373214.1	0	45876610	+
1	chr28	100	39422002	2	W	JH373215.1	0	39421902	+
13	chr28	39423002	40699038	4	W	JH373216.1	0	1276036	+
13	chr28	40700038	41182112	6	W	JH373217.1	0	482074	+
1	chr29	100	41845238	2	W	JH373218.1	0	41845138	+
1	chr30	100	40214260	2	W	JH373219.1	0	40214160	+
1	chr31	100	38889707	2	W	JH373220.1	0	38889607	+
13	chr31	38890707	39895921	4	W	JH373221.1	0	1005214	+
1	chr32	100	38810281	2	W	JH373222.1	0	38810181	+
1	chr33	100	12306384	2	W	JH373223.1	0	12306284	+
1	chr33	12307384	31377067	4	W	JH373224.1	0	19069683	+
1	chr34	100	12475585	2	W	JH373225.1	0	12475485	+
1	chr34	12476585	42124431	4	W	JH373226.1	0	29647846	+
1	chr35	100	26524999	2	W	JH373227.1	0	26524899	+
1	chr36	100	30810995	2	W	JH373228.1	0	30810895	+
1	chr37	100	30902991	2	W	JH373229.1	0	30902891	+
1	chr38	100	23914537	2	W	JH373230.1	0	23914437	+
585	chrUn_JH373233	0	27472	1	W	AAEX03018522.1	0	27472	+
585	chrUn_JH373233	28669	64973	3	W	AAEX03018523.1	0	36304	+
585	chrUn_JH373233	65075	95646	5	W	AAEX03018524.1	0	30571	+
585	chrUn_JH373233	96188	104425	7	W	AAEX03018525.1	0	8237	+
585	chrUn_JH373233	104827	110974	9	W	AAEX03018526.1	0	6147	+
585	chrUn_JH373233	110984	112515	11	W	AAEX03018527.1	0	1531	+
73	chrUn_JH373233	113565	548496	13	W	AAEX03018528.1	0	434931	+
589	chrUn_JH373233	548510	551853	15	W	AAEX03018529.1	0	3343	+
589	chrUn_JH373233	556833	563985	17	W	AAEX03018530.1	0	7152	+
589	chrUn_JH373233	564464	567036	19	W	AAEX03018531.1	0	2572	+
589	chrUn_JH373233	567154	631779	21	W	AAEX03018532.1	0	64625	+
