MutationType,ID10_GRCh37
1:Del:C:0,0.025105414
1:Del:C:1,0.02930632
1:Del:C:2,0.018804056
1:Del:C:3,0.01650356
1:Del:C:4,0.002930632
1:Del:C:5,8.42e-18
1:Del:T:0,0.028306105
1:Del:T:1,8.42e-18
1:Del:T:2,0.001510326
1:Del:T:3,0.001420306
1:Del:T:4,0.00241052
1:Del:T:5,1.27e-17
1:Ins:C:0,8.42e-18
1:Ins:C:1,0.000345074
1:Ins:C:2,0.000272059
1:Ins:C:3,0.002580556
1:Ins:C:4,0.000411089
1:Ins:C:5,0.000851184
1:Ins:T:0,0.017003667
1:Ins:T:1,0.043809449
1:Ins:T:2,0.003650787
1:Ins:T:3,0.003750809
1:Ins:T:4,9.66e-06
1:Ins:T:5,1.11e-08
2:Del:R:0,0.000839181
2:Del:R:1,0.009472042
2:Del:R:2,0.006541411
2:Del:R:3,0.00018504
2:Del:R:4,8.42e-18
2:Del:R:5,8.42e-18
3:Del:R:0,0.001200259
3:Del:R:1,0.042709211
3:Del:R:2,0.005061091
3:Del:R:3,0.002730589
3:Del:R:4,8.42e-18
3:Del:R:5,8.42e-18
4:Del:R:0,0.001470317
4:Del:R:1,0.000521112
4:Del:R:2,7.5e-05
4:Del:R:3,0.000132028
4:Del:R:4,8.42e-18
4:Del:R:5,0.000209045
5:Del:R:0,0.0013903
5:Del:R:1,0.026205652
5:Del:R:2,0.001770382
5:Del:R:3,0.00013703
5:Del:R:4,0.000125027
5:Del:R:5,0.001120242
2:Ins:R:0,0.025305458
2:Ins:R:1,0.038908392
2:Ins:R:2,0.026205652
2:Ins:R:3,0.00028006
2:Ins:R:4,8.42e-18
2:Ins:R:5,8.42e-18
3:Ins:R:0,0.018103905
3:Ins:R:1,0.055211908
3:Ins:R:2,0.009432034
3:Ins:R:3,0.000461099
3:Ins:R:4,0.00018704
3:Ins:R:5,0.00018504
4:Ins:R:0,0.016003452
4:Ins:R:1,0.074616092
4:Ins:R:2,0.004090882
4:Ins:R:3,0.000239052
4:Ins:R:4,0.002280492
4:Ins:R:5,0.013802977
5:Ins:R:0,0.049210613
5:Ins:R:1,0.278059971
5:Ins:R:2,0.009221989
5:Ins:R:3,0.003660789
5:Ins:R:4,0.00334072
5:Ins:R:5,0.002740591
2:Del:M:1,0.000638138
3:Del:M:1,0.003960854
3:Del:M:2,0.019304164
4:Del:M:1,0.000179039
4:Del:M:2,0.000387083
4:Del:M:3,8.22e-05
5:Del:M:1,0.001330287
5:Del:M:2,0.000124027
5:Del:M:3,5.65e-05
5:Del:M:4,0.000104022
5:Del:M:5,0.041408931
2:Ins:M:1,0
3:Ins:M:1,0
3:Ins:M:2,0
4:Ins:M:1,0
4:Ins:M:2,0
4:Ins:M:3,0
5:Ins:M:1,0
5:Ins:M:2,0
5:Ins:M:3,0
5:Ins:M:4,0
5:Ins:M:5,0
complex,0
non_matching,0
