chr - hsX X 0 153692391 chrx
chr - hsY Y 0 50286555 chry
chr - hs1 1 0 246127941 chr1
chr - hs2 2 0 243615958 chr2
chr - hs3 3 0 199344050 chr3
chr - hs4 4 0 191731959 chr4
chr - hs5 5 0 181034922 chr5
chr - hs6 6 0 170914576 chr6
chr - hs7 7 0 158545518 chr7
chr - hs8 8 0 146308819 chr8
chr - hs9 9 0 136372045 chr9
chr - hs10 10 0 135037215 chr10
chr - hs11 11 0 134482954 chr11
chr - hs12 12 0 132078379 chr12
chr - hs13 13 0 113042980 chr13
chr - hs14 14 0 105311216 chr14
chr - hs15 15 0 100256656 chr15
chr - hs16 16 0 90041932 chr16
chr - hs17 17 0 81860266 chr17
chr - hs18 18 0 76115139 chr18
chr - hs19 19 0 63811651 chr19
chr - hs20 20 0 63741868 chr20
chr - hs21 21 0 46976097 chr21
chr - hs22 22 0 49396972 chr22
band hs1 p36.33 p36.33 0 2200000 gneg
band hs1 p36.32 p36.32 2200000 5100000 gpos25
band hs1 p36.31 p36.31 5100000 6900000 gneg
band hs1 p36.23 p36.23 6900000 8800000 gpos25
band hs1 p36.22 p36.22 8800000 12100000 gneg
band hs1 p36.21 p36.21 12100000 15200000 gpos50
band hs1 p36.13 p36.13 15200000 19900000 gneg
band hs1 p36.12 p36.12 19900000 23400000 gpos25
band hs1 p36.11 p36.11 23400000 27600000 gneg
band hs1 p35.3 p35.3 27600000 30000000 gpos25
band hs1 p35.2 p35.2 30000000 32300000 gneg
band hs1 p35.1 p35.1 32300000 34300000 gpos25
band hs1 p34.3 p34.3 34300000 39600000 gneg
band hs1 p34.2 p34.2 39600000 43600000 gpos25
band hs1 p34.1 p34.1 43600000 46100000 gneg
band hs1 p33 p33 46100000 50100000 gpos75
band hs1 p32.3 p32.3 50100000 55400000 gneg
band hs1 p32.2 p32.2 55400000 58300000 gpos50
band hs1 p32.1 p32.1 58300000 60600000 gneg
band hs1 p31.3 p31.3 60600000 65100000 gpos50
band hs1 p31.2 p31.2 65100000 69100000 gneg
band hs1 p31.1 p31.1 69100000 84300000 gpos100
band hs1 p22.3 p22.3 84300000 87800000 gneg
band hs1 p22.2 p22.2 87800000 91500000 gpos75
band hs1 p22.1 p22.1 91500000 94200000 gneg
band hs1 p21.3 p21.3 94200000 99100000 gpos75
band hs1 p21.2 p21.2 99100000 101600000 gneg
band hs1 p21.1 p21.1 101600000 106600000 gpos100
band hs1 p13.3 p13.3 106600000 111100000 gneg
band hs1 p13.2 p13.2 111100000 114500000 gpos50
band hs1 p13.1 p13.1 114500000 117100000 gneg
band hs1 p12 p12 117100000 119700000 gpos50
band hs1 p11.2 p11.2 119700000 120000000 gneg
band hs1 p11.1 p11.1 120000000 123200000 acen
band hs1 q11 q11 123200000 126900000 acen
band hs1 q12 q12 126900000 140800000 gvar
band hs1 q21.1 q21.1 140800000 145900000 gneg
band hs1 q21.2 q21.2 145900000 148000000 gpos50
band hs1 q21.3 q21.3 148000000 151500000 gneg
band hs1 q22 q22 151500000 153700000 gpos50
band hs1 q23.1 q23.1 153700000 156300000 gneg
band hs1 q23.2 q23.2 156300000 157700000 gpos50
band hs1 q23.3 q23.3 157700000 162700000 gneg
band hs1 q24.1 q24.1 162700000 164400000 gpos50
band hs1 q24.2 q24.2 164400000 168100000 gneg
band hs1 q24.3 q24.3 168100000 170200000 gpos75
band hs1 q25.1 q25.1 170200000 173300000 gneg
band hs1 q25.2 q25.2 173300000 177500000 gpos50
