chr - hs1 1 0 249250621 chr1
chr - hs2 2 0 243199373 chr2
chr - hs3 3 0 198022430 chr3
chr - hs4 4 0 191154276 chr4
chr - hs5 5 0 180915260 chr5
chr - hs6 6 0 171115067 chr6
chr - hs7 7 0 159138663 chr7
chr - hs8 8 0 146364022 chr8
chr - hs9 9 0 141213431 chr9
chr - hs10 10 0 135534747 chr10
chr - hs11 11 0 135006516 chr11
chr - hs12 12 0 133851895 chr12
chr - hs13 13 0 115169878 chr13
chr - hs14 14 0 107349540 chr14
chr - hs15 15 0 102531392 chr15
chr - hs16 16 0 90354753 chr16
chr - hs17 17 0 81195210 chr17
chr - hs18 18 0 78077248 chr18
chr - hs19 19 0 59128983 chr19
chr - hs20 20 0 63025520 chr20
chr - hs21 21 0 48129895 chr21
chr - hs22 22 0 51304566 chr22
chr - hsX x 0 155270560 chrx
chr - hsY y 0 59373566 chry
band hs1 p36.33 p36.33 0 2300000 gneg
band hs1 p36.32 p36.32 2300000 5400000 gpos25
band hs1 p36.31 p36.31 5400000 7200000 gneg
band hs1 p36.23 p36.23 7200000 9200000 gpos25
band hs1 p36.22 p36.22 9200000 12700000 gneg
band hs1 p36.21 p36.21 12700000 16200000 gpos50
band hs1 p36.13 p36.13 16200000 20400000 gneg
band hs1 p36.12 p36.12 20400000 23900000 gpos25
band hs1 p36.11 p36.11 23900000 28000000 gneg
band hs1 p35.3 p35.3 28000000 30200000 gpos25
band hs1 p35.2 p35.2 30200000 32400000 gneg
band hs1 p35.1 p35.1 32400000 34600000 gpos25
band hs1 p34.3 p34.3 34600000 40100000 gneg
band hs1 p34.2 p34.2 40100000 44100000 gpos25
band hs1 p34.1 p34.1 44100000 46800000 gneg
band hs1 p33 p33 46800000 50700000 gpos75
band hs1 p32.3 p32.3 50700000 56100000 gneg
band hs1 p32.2 p32.2 56100000 59000000 gpos50
band hs1 p32.1 p32.1 59000000 61300000 gneg
band hs1 p31.3 p31.3 61300000 68900000 gpos50
band hs1 p31.2 p31.2 68900000 69700000 gneg
band hs1 p31.1 p31.1 69700000 84900000 gpos100
band hs1 p22.3 p22.3 84900000 88400000 gneg
band hs1 p22.2 p22.2 88400000 92000000 gpos75
band hs1 p22.1 p22.1 92000000 94700000 gneg
band hs1 p21.3 p21.3 94700000 99700000 gpos75
band hs1 p21.2 p21.2 99700000 102200000 gneg
band hs1 p21.1 p21.1 102200000 107200000 gpos100
band hs1 p13.3 p13.3 107200000 111800000 gneg
band hs1 p13.2 p13.2 111800000 116100000 gpos50
band hs1 p13.1 p13.1 116100000 117800000 gneg
band hs1 p12 p12 117800000 120600000 gpos50
band hs1 p11.2 p11.2 120600000 121500000 gneg
band hs1 p11.1 p11.1 121500000 125000000 acen
band hs1 q11 q11 125000000 128900000 acen
band hs1 q12 q12 128900000 142600000 gvar
band hs1 q21.1 q21.1 142600000 147000000 gneg
band hs1 q21.2 q21.2 147000000 150300000 gpos50
band hs1 q21.3 q21.3 150300000 155000000 gneg
band hs1 q22 q22 155000000 156500000 gpos50
band hs1 q23.1 q23.1 156500000 159100000 gneg
band hs1 q23.2 q23.2 159100000 160500000 gpos50
band hs1 q23.3 q23.3 160500000 165500000 gneg
band hs1 q24.1 q24.1 165500000 167200000 gpos50
band hs1 q24.2 q24.2 167200000 170900000 gneg
band hs1 q24.3 q24.3 170900000 172900000 gpos75
band hs1 q25.1 q25.1 172900000 176000000 gneg
band hs1 q25.2 q25.2 176000000 180300000 gpos50
band hs1 q25.3 q25.3 180300000 185800000 gneg
band hs1 q31.1 q31.1 185800000 190800000 gpos100
band hs1 q31.2 q31.2 190800000 193800000 gneg
band hs1 q31.3 q31.3 193800000 198700000 gpos100
band hs1 q32.1 q32.1 198700000 207200000 gneg
band hs1 q32.2 q32.2 207200000 211500000 gpos25
band hs1 q32.3 q32.3 211500000 214500000 gneg
band hs1 q41 q41 214500000 224100000 gpos100
band hs1 q42.11 q42.11 224100000 224600000 gneg
band hs1 q42.12 q42.12 224600000 227000000 gpos25
band hs1 q42.13 q42.13 227000000 230700000 gneg
band hs1 q42.2 q42.2 230700000 234700000 gpos50
band hs1 q42.3 q42.3 234700000 236600000 gneg
band hs1 q43 q43 236600000 243700000 gpos75
band hs1 q44 q44 243700000 249250621 gneg
