chr - rn1 1 0 267910886 chr1
chr - rn2 2 0 258207540 chr2
chr - rn3 3 0 171063335 chr3
chr - rn4 4 0 187126005 chr4
chr - rn5 5 0 173096209 chr5
chr - rn6 6 0 147636619 chr6
chr - rn7 7 0 143002779 chr7
chr - rn8 8 0 129041809 chr8
chr - rn9 9 0 113440463 chr9
chr - rn10 10 0 110718848 chr10
chr - rn11 11 0 87759784 chr11
chr - rn12 12 0 46782294 chr12
chr - rn13 13 0 111154910 chr13
chr - rn14 14 0 112194335 chr14
chr - rn15 15 0 109758846 chr15
chr - rn16 16 0 90238779 chr16
chr - rn17 17 0 97296363 chr17
chr - rn18 18 0 87265094 chr18
chr - rn19 19 0 59218465 chr19
chr - rn20 20 0 55268282 chr20
chr - rnX x 0 160699376 chrx
band rn1 p13 p13 0 10142096 gneg
band rn1 p12 p12 10142096 24272657 gvar
band rn1 p11 p11 24272657 38517175 gneg
band rn1 q11 q11 38517175 48659271 gpos
band rn1 q12 q12 48659271 69741157 gneg
band rn1 q21 q21 69741157 90025350 gpos
band rn1 q22 q22 90025350 123756368 gneg
band rn1 q31 q31 123756368 141191657 gpos
band rn1 q32 q32 141191657 162273543 gneg
band rn1 q33 q33 162273543 170478385 gpos
band rn1 q34 q34 170478385 174466850 gneg
band rn1 q35 q35 174466850 179822789 gpos
band rn1 q36 q36 179822789 187913675 gneg
band rn1 q37 q37 187913675 190762578 gpos
band rn1 q41 q41 190762578 204893140 gneg
band rn1 q42 q42 204893140 207400175 gpos
band rn1 q43 q43 207400175 223240078 gneg
band rn1 q51 q51 223240078 231330964 gpos
band rn1 q52 q52 231330964 239421850 gneg
band rn1 q53 q53 239421850 245575482 gpos
band rn1 q54 q54 245575482 253666368 gneg
band rn1 q55 q55 253666368 267910886 gvar
band rn10 q11 q11 0 6254774 gpos
band rn10 q12 q12 6254774 26232711 gneg
band rn10 q21 q21 26232711 34821357 gpos
band rn10 q22 q22 34821357 47517616 gneg
band rn10 q23 q23 47517616 49851488 gpos
band rn10 q24 q24 49851488 63761360 gneg
band rn10 q25 q25 63761360 66468650 gpos
band rn10 q26 q26 66468650 83085813 gneg
band rn10 q31 q31 83085813 88033620 gpos
band rn10 q32.1 q32.1 88033620 103717234 gneg
band rn10 q32.2 q32.2 103717234 105397621 gpos
band rn10 q32.3 q32.3 105397621 110718848 gneg
band rn11 p12 p12 0 6656992 gvar
band rn11 p11 p11 6656992 15001672 gneg
band rn11 q11 q11 15001672 36660337 gpos
band rn11 q12 q12 36660337 48380393 gneg
band rn11 q21 q21 48380393 64975993 gpos
band rn11 q22 q22 64975993 76696050 gneg
band rn11 q23 q23 76696050 87759784 gpos
band rn12 p12 p12 0 5483638 gvar
band rn12 p11 p11 5483638 12566672 gneg
band rn12 q11 q11 12566672 18678644 gpos
band rn12 q12 q12 18678644 26846981 gneg
band rn12 q13 q13 26846981 28446376 gpos
band rn12 q14 q14 28446376 32501984 gneg
band rn12 q15 q15 32501984 33930015 gpos
band rn12 q16 q16 33930015 46782294 gneg
band rn13 p13 p13 0 17399939 gneg
band rn13 p12 p12 17399939 22926979 gvar
band rn13 p11 p11 22926979 30194013 gneg
band rn13 q11 q11 30194013 40019861 gpos
band rn13 q12 q12 40019861 42988086 gneg
band rn13 q13 q13 42988086 55679807 gpos
band rn13 q21 q21 55679807 71749163 gpos
band rn13 q22 q22 71749163 80142075 gneg
band rn13 q23 q23 80142075 83007948 gpos
band rn13 q24 q24 83007948 91093802 gneg
band rn13 q25 q25 91093802 93959675 gpos
band rn13 q26 q26 93959675 105627870 gneg
band rn13 q27 q27 105627870 111154910 gpos
band rn14 p22 p22 0 21145501 gneg
band rn14 p21 p21 21145501 31410307 gpos
