chr - mm1 1 0 195471971 chr1
chr - mm2 2 0 182113224 chr2
chr - mm3 3 0 160039680 chr3
chr - mm4 4 0 156508116 chr4
chr - mm5 5 0 151834684 chr5
chr - mm6 6 0 149736546 chr6
chr - mm7 7 0 145441459 chr7
chr - mm8 8 0 129401213 chr8
chr - mm9 9 0 124595110 chr9
chr - mm10 10 0 130694993 chr10
chr - mm11 11 0 122082543 chr11
chr - mm12 12 0 120129022 chr12
chr - mm13 13 0 120421639 chr13
chr - mm14 14 0 124902244 chr14
chr - mm15 15 0 104043685 chr15
chr - mm16 16 0 98207768 chr16
chr - mm17 17 0 94987271 chr17
chr - mm18 18 0 90702639 chr18
chr - mm19 19 0 61431566 chr19
chr - mmX x 0 171031299 chrx
chr - mmY y 0 91744698 chry
band mm1 qa1 qa1 0 8840440 gpos100
band mm1 qa2 qa2 8840440 12278390 gneg
band mm1 qa3 qa3 12278390 20136559 gpos33
band mm1 qa4 qa4 20136559 22101102 gneg
band mm1 qa5 qa5 22101102 30941543 gpos100
band mm1 qb qb 30941543 43219933 gneg
band mm1 qc1.1 qc1.1 43219933 54516052 gpos66
band mm1 qc1.2 qc1.2 54516052 55989459 gneg
band mm1 qc1.3 qc1.3 55989459 59427408 gpos75
band mm1 qc2 qc2 59427408 65321035 gneg
band mm1 qc3 qc3 65321035 74652612 gpos33
band mm1 qc4 qc4 74652612 80055103 gneg
band mm1 qc5 qc5 80055103 87422137 gpos33
band mm1 qd qd 87422137 99700527 gneg
band mm1 qe1.1 qe1.1 99700527 102647341 gpos33
band mm1 qe1.2 qe1.2 102647341 103629612 gneg
band mm1 qe2.1 qe2.1 103629612 112470053 gpos100
band mm1 qe2.2 qe2.2 112470053 113943460 gneg
band mm1 qe2.3 qe2.3 113943460 125730715 gpos100
band mm1 qe3 qe3 125730715 128677528 gneg
band mm1 qe4 qe4 128677528 139482511 gpos66
band mm1 qf qf 139482511 147340681 gneg
band mm1 qg1 qg1 147340681 151760902 gpos100
band mm1 qg2 qg2 151760902 152743173 gneg
band mm1 qg3 qg3 152743173 157163393 gpos100
band mm1 qh1 qh1 157163393 160110207 gneg
band mm1 qh2.1 qh2.1 160110207 164039292 gpos33
band mm1 qh2.2 qh2.2 164039292 165512699 gneg
band mm1 qh2.3 qh2.3 165512699 169932919 gpos33
band mm1 qh3 qh3 169932919 175826546 gneg
band mm1 qh4 qh4 175826546 181720174 gpos33
band mm1 qh5 qh5 181720174 188104936 gneg
band mm1 qh6 qh6 188104936 195471971 gpos33
band mm10 qa1 qa1 0 12822904 gpos100
band mm10 qa2 qa2 12822904 17754791 gneg
band mm10 qa3 qa3 17754791 23673055 gpos33
band mm10 qa4 qa4 23673055 33536828 gneg
band mm10 qb1 qb1 33536828 41427846 gpos100
band mm10 qb2 qb2 41427846 48332487 gneg
band mm10 qb3 qb3 48332487 56223506 gpos100
band mm10 qb4 qb4 56223506 64114524 gneg
band mm10 qb5.1 qb5.1 64114524 68060034 gpos100
band mm10 qb5.2 qb5.2 68060034 68553222 gneg
band mm10 qb5.3 qb5.3 68553222 74964675 gpos100
band mm10 qc1 qc1 74964675 89267146 gneg
band mm10 qc2 qc2 89267146 96171787 gpos33
band mm10 qc3 qc3 96171787 99130919 gneg
band mm10 qd1 qd1 99130919 111953824 gpos100
band mm10 qd2 qd2 111953824 124776729 gneg
band mm10 qd3 qd3 124776729 130694993 gpos33
band mm11 qa1 qa1 0 13046989 gpos100
band mm11 qa2 qa2 13046989 17240664 gneg
band mm11 qa3.1 qa3.1 17240664 21900303 gpos100
band mm11 qa3.2 qa3.2 21900303 25628014 gneg
band mm11 qa3.3 qa3.3 25628014 30287653 gpos100
band mm11 qa4 qa4 30287653 36345184 gneg
band mm11 qa5 qa5 36345184 43334643 gpos100
band mm11 qb1.1 qb1.1 43334643 47994282 gneg
band mm11 qb1.2 qb1.2 47994282 49858137 gpos33
band mm11 qb1.3 qb1.3 49858137 60109343 gneg
band mm11 qb2 qb2 60109343 62905127 gpos33
band mm11 qb3 qb3 62905127 70826513 gneg
band mm11 qb4 qb4 70826513 74088260 gpos33
band mm11 qb5 qb5 74088260 82009647 gneg
band mm11 qc qc 82009647 90396997 gpos100
band mm11 qd qd 90396997 102512059 gneg
band mm11 qe1 qe1 102512059 110433445 gpos66
band mm11 qe2 qe2 110433445 122082543 gneg
band mm12 qa1.1 qa1.1 0 17601321 gpos100
band mm12 qa1.2 qa1.2 17601321 21121586 gneg
band mm12 qa1.3 qa1.3 21121586 25961949 gpos66
band mm12 qa2 qa2 25961949 31682379 gneg
band mm12 qa3 qa3 31682379 39162941 gpos33
band mm12 qb1 qb1 39162941 44003304 gneg
band mm12 qb2 qb2 44003304 44883370 gpos33
band mm12 qb3 qb3 44883370 51923899 gneg
band mm12 qc1 qc1 51923899 66004957 gpos100
band mm12 qc2 qc2 66004957 71285353 gneg
band mm12 qc3 qc3 71285353 80966080 gpos100
band mm12 qd1 qd1 80966080 85366411 gneg
band mm12 qd2 qd2 85366411 88446642 gpos33
band mm12 qd3 qd3 88446642 95487171 gneg
band mm12 qe qe 95487171 106047964 gpos100
band mm12 qf1 qf1 106047964 114408592 gneg
band mm12 qf2 qf2 114408592 120129022 gpos66
band mm13 qa1 qa1 0 16286533 gpos100
band mm13 qa2 qa2 16286533 21221846 gneg
band mm13 qa3.1 qa3.1 21221846 29611878 gpos66
band mm13 qa3.2 qa3.2 29611878 33066597 gneg
band mm13 qa3.3 qa3.3 33066597 41456629 gpos33
band mm13 qa4 qa4 41456629 44417817 gneg
band mm13 qa5 qa5 44417817 52807849 gpos33
band mm13 qb1 qb1 52807849 59223756 gneg
band mm13 qb2 qb2 59223756 61691413 gpos33
band mm13 qb3 qb3 61691413 69587914 gneg
band mm13 qc1 qc1 69587914 78471477 gpos33
band mm13 qc2 qc2 78471477 80939134 gneg
band mm13 qc3 qc3 80939134 94758011 gpos100
band mm13 qd1 qd1 94758011 106602762 gneg
band mm13 qd2.1 qd2.1 106602762 110551012 gpos33
band mm13 qd2.2 qd2.2 110551012 116473388 gneg
band mm13 qd2.3 qd2.3 116473388 120421639 gpos33
band mm14 qa1 qa1 0 14988269 gpos100
band mm14 qa2 qa2 14988269 19484750 gneg
band mm14 qa3 qa3 19484750 29976538 gpos33
band mm14 qb qb 29976538 43465980 gneg
band mm14 qc1 qc1 43465980 51959333 gpos100
band mm14 qc2 qc2 51959333 54956987 gneg
band mm14 qc3 qc3 54956987 59953077 gpos66
band mm14 qd1 qd1 59953077 68946038 gneg
band mm14 qd2 qd2 68946038 72942910 gpos33
band mm14 qd3 qd3 72942910 84933525 gneg
band mm14 qe1 qe1 84933525 88930397 gpos66
band mm14 qe2.1 qe2.1 88930397 98922577 gpos100
band mm14 qe2.2 qe2.2 98922577 99921795 gneg
band mm14 qe2.3 qe2.3 99921795 107415929 gpos100
band mm14 qe3 qe3 107415929 110913192 gneg
band mm14 qe4 qe4 110913192 120905372 gpos100
band mm14 qe5 qe5 120905372 124902244 gneg
band mm15 qa1 qa1 0 16500320 gpos100
band mm15 qa2 qa2 16500320 24292137 gneg
band mm15 qb1 qb1 24292137 29792244 gpos33
band mm15 qb2 qb2 29792244 32083955 gneg
band mm15 qb3.1 qb3.1 32083955 43084169 gpos100
band mm15 qb3.2 qb3.2 43084169 44917538 gneg
band mm15 qb3.3 qb3.3 44917538 49959302 gpos66
band mm15 qc qc 49959302 53626040 gneg
band mm15 qd1 qd1 53626040 66459622 gpos100
band mm15 qd2 qd2 66459622 68751333 gneg
band mm15 qd3 qd3 68751333 77459835 gpos66
band mm15 qe1 qe1 77459835 83876627 gneg
band mm15 qe2 qe2 83876627 87085022 gpos33
band mm15 qe3 qe3 87085022 95793524 gneg
band mm15 qf1 qf1 95793524 101293631 gpos66
band mm15 qf2 qf2 101293631 102210316 gneg
band mm15 qf3 qf3 102210316 104043685 gpos33
band mm16 qa1 qa1 0 15432649 gpos100
band mm16 qa2 qa2 15432649 16367961 gneg
band mm16 qa3 qa3 16367961 20576865 gpos33
band mm16 qb1 qb1 20576865 26188738 gneg
band mm16 qb2 qb2 26188738 32268266 gpos33
band mm16 qb3 qb3 32268266 38347795 gneg
band mm16 qb4 qb4 38347795 44894979 gpos33
band mm16 qb5 qb5 44894979 53780444 gneg
band mm16 qc1.1 qc1.1 53780444 57989348 gpos66
band mm16 qc1.2 qc1.2 57989348 58924660 gneg
band mm16 qc1.3 qc1.3 58924660 66874813 gpos66
band mm16 qc2 qc2 66874813 70616061 gneg
band mm16 qc3.1 qc3.1 70616061 79033870 gpos100
band mm16 qc3.2 qc3.2 79033870 79501526 gneg
band mm16 qc3.3 qc3.3 79501526 91660583 gpos100
band mm16 qc4 qc4 91660583 98207768 gneg
band mm17 qa1 qa1 0 13943085 gpos100
band mm17 qa2 qa2 13943085 16121692 gneg
band mm17 qa3.1 qa3.1 16121692 17428857 gpos33
band mm17 qa3.2 qa3.2 17428857 21786071 gneg
band mm17 qa3.3 qa3.3 21786071 31371942 gpos66
band mm17 qb1 qb1 31371942 40086371 gneg
band mm17 qb2 qb2 40086371 41393535 gpos33
band mm17 qb3 qb3 41393535 45750749 gneg
band mm17 qc qc 45750749 55772342 gpos66
band mm17 qd qd 55772342 60129556 gneg
band mm17 qe1.1 qe1.1 60129556 67972542 gpos100
band mm17 qe1.2 qe1.2 67972542 68843985 gneg
band mm17 qe1.3 qe1.3 68843985 73201199 gpos100
band mm17 qe2 qe2 73201199 78429856 gneg
band mm17 qe3 qe3 78429856 82787071 gpos33
band mm17 qe4 qe4 82787071 88887171 gneg
band mm17 qe5 qe5 88887171 94987271 gpos33
band mm18 qa1 qa1 0 19406146 gpos100
band mm18 qa2 qa2 19406146 29531091 gneg
band mm18 qb1 qb1 29531091 35437310 gpos66
band mm18 qb2 qb2 35437310 37124801 gneg
band mm18 qb3 qb3 37124801 45562255 gpos100
band mm18 qc qc 45562255 49780983 gneg
band mm18 qd1 qd1 49780983 53999710 gpos100
band mm18 qd2 qd2 53999710 54421583 gneg
band mm18 qd3 qd3 54421583 60749674 gpos100
