chr1	125184587	143184587
chr9	45518558	60518558
chrY	26673214	56673214
chr13	10000	16000000
chr14	10000	16000000
chr15	10000	17000000
chr16	38280682	46280682
chr21	10000	5010000
chr22	10000	10510000
chr1	123105523	124105523
chr2	92839351	93639351
chr3	91914016	92714016
chr4	50426026	51226026
chr5	47972854	48772854
chr6	58891911	59691911
chr7	59198944	59998944
chr8	44655505	45455505
chr9	44077363	44877363
chr10	40340102	41140102
chr11	52451711	53251711
chr12	35677330	36477330
chr13	16725624	17525624
chr14	16786762	17586762
chr15	18062627	18862627
chr16	36995920	37795920
chr17	24549830	25349830
chr18	17861053	18661053
chr19	25544927	26344927
chr20	27937290	28737290
chr21	11590184	12390184
chr22	13704553	14504553
chrX	60209061	61009061
chrY	10130492	10930492
