GeneId,GeneName,Chromosome,CanonicalTranscriptId,Strand,TransId,TransName,BioType,TransStart,TransEnd,ExonRank,ExonStart,ExonEnd,ExonPhase,ExonEndPhase,CodingStart,CodingEnd
ENSG00000206503,HLA-A,chr6,78831,1,78827,ENST00000396634,protein_coding,29941260,29945884,1,29941260,29941319,-1,-1,29942554,29945455
ENSG00000206503,HLA-A,chr6,78831,1,78827,ENST00000396634,protein_coding,29941260,29945884,2,29941966,29942096,-1,-1,29942554,29945455
ENSG00000206503,HLA-A,chr6,78831,1,78827,ENST00000396634,protein_coding,29941260,29945884,3,29942404,29942626,-1,1,29942554,29945455
ENSG00000206503,HLA-A,chr6,78831,1,78827,ENST00000396634,protein_coding,29941260,29945884,4,29942757,29943026,1,1,29942554,29945455
ENSG00000206503,HLA-A,chr6,78831,1,78827,ENST00000396634,protein_coding,29941260,29945884,5,29943268,29943543,1,1,29942554,29945455
ENSG00000206503,HLA-A,chr6,78831,1,78827,ENST00000396634,protein_coding,29941260,29945884,6,29944122,29944397,1,1,29942554,29945455
ENSG00000206503,HLA-A,chr6,78831,1,78827,ENST00000396634,protein_coding,29941260,29945884,7,29944500,29944616,1,1,29942554,29945455
ENSG00000206503,HLA-A,chr6,78831,1,78827,ENST00000396634,protein_coding,29941260,29945884,8,29945059,29945091,1,1,29942554,29945455
ENSG00000206503,HLA-A,chr6,78831,1,78827,ENST00000396634,protein_coding,29941260,29945884,9,29945234,29945281,1,1,29942554,29945455
ENSG00000206503,HLA-A,chr6,78831,1,78827,ENST00000396634,protein_coding,29941260,29945884,10,29945451,29945884,1,-1,29942554,29945455
ENSG00000234745,HLA-B,chr6,89971,-1,89917,ENST00000412585,protein_coding,31353875,31357179,8,31353875,31354296,-1,-1,31354483,31357158
ENSG00000234745,HLA-B,chr6,89971,-1,89917,ENST00000412585,protein_coding,31353875,31357179,7,31354479,31354526,1,-1,31354483,31357158
ENSG00000234745,HLA-B,chr6,89971,-1,89917,ENST00000412585,protein_coding,31353875,31357179,6,31354633,31354665,1,1,31354483,31357158
ENSG00000234745,HLA-B,chr6,89971,-1,89917,ENST00000412585,protein_coding,31353875,31357179,5,31355107,31355223,1,1,31354483,31357158
ENSG00000234745,HLA-B,chr6,89971,-1,89917,ENST00000412585,protein_coding,31353875,31357179,4,31355317,31355592,1,1,31354483,31357158
ENSG00000234745,HLA-B,chr6,89971,-1,89917,ENST00000412585,protein_coding,31353875,31357179,3,31356167,31356442,1,1,31354483,31357158
ENSG00000234745,HLA-B,chr6,89971,-1,89917,ENST00000412585,protein_coding,31353875,31357179,2,31356688,31356957,1,1,31354483,31357158
ENSG00000234745,HLA-B,chr6,89971,-1,89917,ENST00000412585,protein_coding,31353875,31357179,1,31357086,31357179,-1,1,31354483,31357158
ENSG00000204525,HLA-C,chr6,89284,-1,89282,ENST00000376228,protein_coding,31268749,31272086,8,31268749,31269173,1,-1,31269169,31272071
ENSG00000204525,HLA-C,chr6,89284,-1,89282,ENST00000376228,protein_coding,31268749,31272086,7,31269338,31269385,1,1,31269169,31272071
ENSG00000204525,HLA-C,chr6,89284,-1,89282,ENST00000376228,protein_coding,31268749,31272086,6,31269493,31269525,1,1,31269169,31272071
ENSG00000204525,HLA-C,chr6,89284,-1,89282,ENST00000376228,protein_coding,31268749,31272086,5,31269966,31270085,1,1,31269169,31272071
ENSG00000204525,HLA-C,chr6,89284,-1,89282,ENST00000376228,protein_coding,31268749,31272086,4,31270210,31270485,1,1,31269169,31272071
ENSG00000204525,HLA-C,chr6,89284,-1,89282,ENST00000376228,protein_coding,31268749,31272086,3,31271073,31271348,1,1,31269169,31272071
ENSG00000204525,HLA-C,chr6,89284,-1,89282,ENST00000376228,protein_coding,31268749,31272086,2,31271599,31271868,1,1,31269169,31272071
ENSG00000204525,HLA-C,chr6,89284,-1,89282,ENST00000376228,protein_coding,31268749,31272086,1,31271999,31272086,-1,1,31269169,31272071
ENSG00000179344,HLA-DQB1,chr6,428856,-1,428882,ENST00000399084,protein_coding,32659467,32668383,6,32659467,32660249,1,-1,32660236,32666607
ENSG00000179344,HLA-DQB1,chr6,428856,-1,428882,ENST00000399084,protein_coding,32659467,32668383,5,32661347,32661457,1,1,32660236,32666607
ENSG00000179344,HLA-DQB1,chr6,428856,-1,428882,ENST00000399084,protein_coding,32659467,32668383,4,32661967,32662248,1,1,32660236,32666607
ENSG00000179344,HLA-DQB1,chr6,428856,-1,428882,ENST00000399084,protein_coding,32659467,32668383,3,32664798,32665067,1,1,32660236,32666607
ENSG00000179344,HLA-DQB1,chr6,428856,-1,428882,ENST00000399084,protein_coding,32659467,32668383,2,32666499,32666670,-1,1,32660236,32666607
ENSG00000179344,HLA-DQB1,chr6,428856,-1,428882,ENST00000399084,protein_coding,32659467,32668383,1,32668268,32668383,-1,-1,32660236,32666607
ENSG00000231389,HLA-DPA1,chr6,428577,-1,428587,ENST00000419277,protein_coding,33064569,33080710,6,33064569,33065347,-1,-1,33068650,33073570
ENSG00000231389,HLA-DPA1,chr6,428577,-1,428587,ENST00000419277,protein_coding,33064569,33080710,5,33068638,33068804,1,-1,33068650,33073570
ENSG00000231389,HLA-DPA1,chr6,428577,-1,428587,ENST00000419277,protein_coding,33064569,33080710,4,33069019,33069300,1,1,33068650,33073570
ENSG00000231389,HLA-DPA1,chr6,428577,-1,428587,ENST00000419277,protein_coding,33064569,33080710,3,33069641,33069886,1,1,33068650,33073570
ENSG00000231389,HLA-DPA1,chr6,428577,-1,428587,ENST00000419277,protein_coding,33064569,33080710,2,33073471,33073669,-1,1,33068650,33073570
ENSG00000231389,HLA-DPA1,chr6,428577,-1,428587,ENST00000419277,protein_coding,33064569,33080710,1,33080680,33080710,-1,-1,33068650,33073570
ENSG00000223865,HLA-DPB1,chr6,414641,1,414641,ENST00000418931,protein_coding,33075990,33089696,1,33075990,33076141,-1,1,33076042,33086238
ENSG00000223865,HLA-DPB1,chr6,414641,1,414641,ENST00000418931,protein_coding,33075990,33089696,2,33080672,33080935,1,1,33076042,33086238
ENSG00000223865,HLA-DPB1,chr6,414641,1,414641,ENST00000418931,protein_coding,33075990,33089696,3,33084950,33085231,1,1,33076042,33086238
ENSG00000223865,HLA-DPB1,chr6,414641,1,414641,ENST00000418931,protein_coding,33075990,33089696,4,33085779,33085889,1,1,33076042,33086238
ENSG00000223865,HLA-DPB1,chr6,414641,1,414641,ENST00000418931,protein_coding,33075990,33089696,5,33086219,33086242,1,-1,33076042,33086238
ENSG00000223865,HLA-DPB1,chr6,414641,1,414641,ENST00000418931,protein_coding,33075990,33089696,6,33086539,33089696,-1,-1,33076042,33086238
ENSG00000196735,HLA-DQA1,chr6,428753,1,428753,ENST00000343139,protein_coding,32637406,32643684,1,32637406,32637540,-1,1,32637459,32642764
ENSG00000196735,HLA-DQA1,chr6,428753,1,428753,ENST00000343139,protein_coding,32637406,32643684,2,32641310,32641558,1,1,32637459,32642764
ENSG00000196735,HLA-DQA1,chr6,428753,1,428753,ENST00000343139,protein_coding,32637406,32643684,3,32641972,32642253,1,1,32637459,32642764
ENSG00000196735,HLA-DQA1,chr6,428753,1,428753,ENST00000343139,protein_coding,32637406,32643684,4,32642610,32642784,1,-1,32637459,32642764
ENSG00000196735,HLA-DQA1,chr6,428753,1,428753,ENST00000343139,protein_coding,32637406,32643684,5,32642952,32643684,-1,-1,32637459,32642764
ENSG00000196126,HLA-DRB1,chr6,462714,-1,462714,ENST00000360004,protein_coding,32578775,32589848,6,32578775,32579104,1,-1,32579091,32589742
ENSG00000196126,HLA-DRB1,chr6,462714,-1,462714,ENST00000360004,protein_coding,32578775,32589848,5,32580247,32580270,1,1,32579091,32589742
ENSG00000196126,HLA-DRB1,chr6,462714,-1,462714,ENST00000360004,protein_coding,32578775,32589848,4,32580746,32580856,1,1,32579091,32589742
ENSG00000196126,HLA-DRB1,chr6,462714,-1,462714,ENST00000360004,protein_coding,32578775,32589848,3,32581557,32581838,1,1,32579091,32589742
ENSG00000196126,HLA-DRB1,chr6,462714,-1,462714,ENST00000360004,protein_coding,32578775,32589848,2,32584109,32584378,1,1,32579091,32589742
ENSG00000196126,HLA-DRB1,chr6,462714,-1,462714,ENST00000360004,protein_coding,32578775,32589848,1,32589643,32589848,-1,1,32579091,32589742
ENSG00000198502,HLA-DRB5,chr6,428654,-1,428654,ENST00000374975,protein_coding,32517353,32530287,6,32517353,32517752,1,-1,32517739,32530224
ENSG00000198502,HLA-DRB5,chr6,428654,-1,428654,ENST00000374975,protein_coding,32517353,32530287,5,32518054,32518077,1,1,32517739,32530224
ENSG00000198502,HLA-DRB5,chr6,428654,-1,428654,ENST00000374975,protein_coding,32517353,32530287,4,32518556,32518666,1,1,32517739,32530224
ENSG00000198502,HLA-DRB5,chr6,428654,-1,428654,ENST00000374975,protein_coding,32517353,32530287,3,32519370,32519651,1,1,32517739,32530224
